"","species_name","range_size","aoo","sexual_system"
"216","Acacia confluens",1,2500,NA
"217","Acacia confusa",79,207500,"hermaphroditism"
"218","Acacia congesta",2,5000,NA
"219","Acacia conniana",NA,NA,NA
"220","Acacia consanguinea",NA,NA,NA
"221","Acacia consobrina",1,2500,NA
"222","Acacia conspersa",44,105000,NA
"223","Acacia constablei",3,7500,NA
"224","Acacia continua",45,105000,NA
"225","Acacia convallium",8,17500,NA
"226","Acacia coolgardiensis",18,45000,NA
"227","Acacia coriacea",33,80000,NA
"228","Acacia costata",2,5000,NA
"229","Acacia costiniana",7,17500,NA
"230","Acacia courtii",2,5000,NA
"231","Acacia covenyi",12,22500,NA
"232","Acacia cowleana",106,267500,NA
"233","Acacia cracentis",2,5000,NA
"234","Acacia craspedocarpa",14,32500,NA
"235","Acacia crassa",24,57500,NA
"236","Acacia crassicarpa",40,92500,NA
"237","Acacia crassistipula",1,2500,NA
"238","Acacia crassiuscula",4,10000,NA
"239","Acacia crassuloides",2,5000,NA
"240","Acacia cremiflora",13,25000,NA
"241","Acacia cretata",7,15000,NA
"242","Acacia crispula",9,22500,NA
"243","Acacia cultriformis",78,2e+05,NA
"244","Acacia cummingiana",NA,NA,NA
"245","Acacia cupularis",73,187500,NA
"246","Acacia curranii",8,20000,NA
"247","Acacia curvata",1,2500,NA
"248","Acacia cuspidifolia",NA,NA,NA
"249","Acacia cuthbertsonii",23,55000,NA
"250","Acacia cyclops",207,532500,"hermaphroditism"
"251","Acacia cyperophylla",14,32500,NA
"252","Acacia dacrydioides",NA,NA,NA
"253","Acacia dangarensis",2,5000,NA
"254","Acacia daviesioides",1,2500,NA
"255","Acacia dawsonii",42,90000,NA
"256","Acacia dealbata",1158,3252500,"hermaphroditism"
"257","Acacia deanei",151,372500,NA
"258","Acacia debilis",12,22500,NA
"259","Acacia declinata",1,2500,NA
"260","Acacia decora",205,485000,"hermaphroditism"
"261","Acacia decurrens",235,602500,"hermaphroditism"
"262","Acacia delibrata",5,10000,NA
"263","Acacia delicatula",1,2500,NA
"264","Acacia delphina",2,5000,NA
"265","Acacia deltoidea",6,12500,NA
"266","Acacia dempsteri",1,2500,NA
"267","Acacia densiflora",4,10000,NA
"268","Acacia denticulosa",11,27500,NA
"269","Acacia dentifera",8,17500,NA
"270","Acacia dermatophylla",3,7500,NA
"271","Acacia desmondii",NA,NA,NA
"272","Acacia diallaga",NA,NA,NA
"273","Acacia diaphyllodinea",1,2500,NA
"274","Acacia dictyoneura",1,2500,NA
"275","Acacia dictyophleba",101,250000,NA
"276","Acacia didyma",2,5000,NA
"277","Acacia dielsii",6,17500,NA
"278","Acacia difficilis",171,405000,NA
"279","Acacia difformis",52,132500,"hermaphroditism"
"280","Acacia dilatata",4,10000,NA
"281","Acacia dimidiata",128,307500,NA
"282","Acacia diminuta",NA,NA,NA
"283","Acacia disparrima",35,85000,NA
"284","Acacia distans",NA,NA,NA
"285","Acacia disticha",1,2500,NA
"286","Acacia divergens",11,25000,NA
"287","Acacia dodonaeifolia",26,67500,"hermaphroditism"
"288","Acacia dolichophylla",1,2500,NA
"289","Acacia doratoxylon",125,295000,NA
"290","Acacia dorothea",11,25000,NA
"291","Acacia drepanocarpa",26,65000,NA
"292","Acacia drepanophylla",NA,NA,NA
"293","Acacia drewiana",1,2500,NA
"294","Acacia drummondii",16,37500,NA
"295","Acacia dunnii",30,65000,NA
"296","Acacia durabilis",1,2500,NA
"297","Acacia echinula",37,80000,NA
"298","Acacia echinuliflora",1,2500,NA
"299","Acacia effusifolia",21,47500,NA
"300","Acacia elachantha",42,107500,NA
"301","Acacia elata",104,257500,NA
"302","Acacia elongata",74,165000,"hermaphroditism"
"303","Acacia empelioclada",1,2500,NA
"304","Acacia enervia",1,2500,NA
"305","Acacia enterocarpa",13,32500,NA
"306","Acacia epacantha",1,2500,NA
"307","Acacia ephedroides",NA,NA,NA
"308","Acacia ericifolia",23,50000,NA
"309","Acacia ericksoniae",1,2500,NA
"310","Acacia erinacea",74,190000,NA
"311","Acacia erioclada",NA,NA,NA
"312","Acacia eriopoda",5,12500,NA
"313","Acacia errabunda",NA,NA,NA
"314","Acacia estrophiolata",93,215000,NA
"315","Acacia euthycarpa",64,147500,NA
"316","Acacia excelsa",128,307500,NA
"317","Acacia excentrica",NA,NA,NA
"318","Acacia exigua",NA,NA,NA
"319","Acacia exocarpoides",15,30000,NA
"320","Acacia extensa",24,60000,NA
"321","Acacia fagonioides",2,2500,NA
"322","Acacia falcata",121,282500,"hermaphroditism"
"323","Acacia falciformis",151,390000,NA
"324","Acacia farinosa",54,135000,NA
"325","Acacia fasciculifera",43,92500,"hermaphroditism"
"326","Acacia faucium",1,2500,NA
"327","Acacia fauntleroyi",1,2500,NA
"328","Acacia fecunda",NA,NA,NA
"329","Acacia filamentosa",NA,NA,NA
"330","Acacia filicifolia",66,137500,"hermaphroditism"
"331","Acacia filifolia",4,10000,NA
"332","Acacia fimbriata",117,282500,"hermaphroditism"
"333","Acacia flabellifolia",2,5000,NA
"334","Acacia flavescens",68,167500,NA
"335","Acacia flavipila",NA,NA,NA
"336","Acacia fleckeri",1,2500,NA
"337","Acacia flexifolia",41,92500,NA
"338","Acacia flocktoniae",3,7500,NA
"339","Acacia floribunda",168,407500,"hermaphroditism"
"340","Acacia floydii",1,2500,NA
"341","Acacia fragilis",5,12500,NA
"342","Acacia frigescens",13,27500,NA
"343","Acacia froggattii",8,15000,NA
"344","Acacia fulva",5,10000,NA
"345","Acacia fuscaneura",2,5000,NA
"346","Acacia galeata",1,2500,NA
"347","Acacia galioides",73,175000,"hermaphroditism"
"348","Acacia gardneri",2,5000,NA
"349","Acacia gelasina",1,2500,NA
"350","Acacia gemina",NA,NA,NA
"351","Acacia genistifolia",149,345000,NA
"352","Acacia georginae",41,1e+05,NA
"353","Acacia gilbertii",2,5000,NA
"354","Acacia gilesiana",15,35000,NA
"355","Acacia gillii",10,22500,NA
"356","Acacia gittinsii",4,10000,NA
"357","Acacia gladiiformis",33,80000,NA
"358","Acacia glaucissima",NA,NA,NA
"359","Acacia glaucocaesia",NA,NA,NA
"360","Acacia glaucocarpa",33,77500,NA
"361","Acacia glaucoptera",19,45000,NA
"362","Acacia gnidium",2,5000,NA
"363","Acacia gonocarpa",78,187500,NA
"364","Acacia gonoclada",41,102500,NA
"365","Acacia gonophylla",11,25000,NA
"366","Acacia gordonii",3,5000,NA
"367","Acacia gracilenta",3,2500,NA
"368","Acacia gracilifolia",3,7500,NA
"369","Acacia grandifolia",5,12500,NA
"370","Acacia granitica",18,37500,NA
"371","Acacia grasbyi",31,77500,NA
"372","Acacia grayana",3,7500,NA
"373","Acacia gregorii",3,5000,NA
"374","Acacia grisea",1,2500,NA
"375","Acacia guinetii",NA,NA,NA
"376","Acacia gunnii",155,392500,NA
"377","Acacia hakeoides",203,525000,NA
"378","Acacia halliana",56,145000,NA
"379","Acacia hamersleyensis",NA,NA,NA
"380","Acacia hammondii",60,145000,NA
"381","Acacia harpophylla",160,407500,NA
"382","Acacia harveyi",3,5000,NA
"383","Acacia hastulata",9,22500,NA
"384","Acacia havilandiorum",42,87500,NA
"385","Acacia helicophylla",7,15000,NA
"386","Acacia hemignosta",118,295000,NA
"387","Acacia hemiteles",36,77500,NA
"388","Acacia hemsleyi",24,55000,NA
"389","Acacia heterochroa",NA,NA,NA
"390","Acacia heteroclita",4,10000,NA
"391","Acacia hexaneura",3,5000,NA
"392","Acacia hilliana",51,117500,NA
"393","Acacia hippuroides",2,2500,NA
"394","Acacia hispidula",27,60000,NA
"395","Acacia hockingsii",NA,NA,NA
"396","Acacia holosericea",292,727500,NA
"397","Acacia hopperiana",1,2500,NA
"398","Acacia horridula",4,7500,NA
"399","Acacia howittii",55,125000,NA
"400","Acacia huegelii",16,32500,NA
"401","Acacia hyaloneura",2,5000,NA
"402","Acacia hylonoma",NA,NA,NA
"403","Acacia hypermeces",1,2500,NA
"404","Acacia hystrix",NA,NA,NA
"405","Acacia idiomorpha",4,5000,NA
"406","Acacia imbricata",4,7500,NA
"407","Acacia imitans",NA,NA,NA
"408","Acacia implexa",267,725000,NA
"409","Acacia inaequilatera",25,55000,NA
"410","Acacia inceana",NA,NA,NA
"411","Acacia incognita",2,5000,NA
"412","Acacia incrassata",3,7500,NA
"413","Acacia incurva",12,25000,NA
"414","Acacia incurvaneura",54,125000,NA
"415","Acacia ingramii",9,20000,NA
"416","Acacia ingrata",4,5000,NA
"417","Acacia inophloia",NA,NA,NA
"418","Acacia intricata",5,12500,NA
"419","Acacia irrorata",84,172500,NA
"420","Acacia islana",NA,NA,NA
"421","Acacia iteaphylla",116,295000,NA
"422","Acacia ixiophylla",36,87500,NA
"423","Acacia ixodes",7,15000,NA
"424","Acacia jacksonioides",4,10000,NA
"425","Acacia jamesiana",NA,NA,NA
"426","Acacia jasperensis",8,17500,NA
"427","Acacia jennerae",16,37500,NA
"428","Acacia jensenii",3,10000,NA
"429","Acacia jibberdingensis",1,2500,NA
"430","Acacia jonesii",5,10000,NA
"431","Acacia jucunda",14,32500,NA
"432","Acacia julifera",26,67500,NA
"433","Acacia juncifolia",65,150000,NA
"434","Acacia karina",NA,NA,NA
"435","Acacia kelleri",5,10000,NA
"436","Acacia kempeana",178,427500,NA
"437","Acacia kenneallyi",NA,NA,NA
"438","Acacia kettlewelliae",25,57500,NA
"439","Acacia kimberleyensis",NA,NA,NA
"440","Acacia koa",22,55000,NA
"441","Acacia kochii",1,2500,NA
"442","Acacia kybeanensis",9,17500,NA
"443","Acacia kydrensis",4,7500,NA
"444","Acacia lacertensis",6,15000,NA
"445","Acacia lachnophylla",2,2500,NA
"446","Acacia lamprocarpa",165,382500,NA
"447","Acacia lanigera",69,165000,NA
"448","Acacia laricina",NA,NA,NA
"449","Acacia lasiocalyx",24,60000,NA
"450","Acacia lasiocarpa",39,92500,NA
"451","Acacia lateriticola",10,17500,NA
"452","Acacia latescens",79,205000,NA
"453","Acacia latifolia",31,72500,NA
"454","Acacia latior",4,7500,NA
"455","Acacia latipes",6,15000,NA
"456","Acacia latisepala",4,7500,NA
"457","Acacia latzii",4,10000,NA
"458","Acacia leeuweniana",NA,NA,NA
"459","Acacia leichhardtii",17,37500,NA
"460","Acacia leiocalyx",104,260000,NA
"461","Acacia leioderma",6,12500,NA
"462","Acacia leiophylla",41,90000,NA
"463","Acacia lentiginea",NA,NA,NA
"464","Acacia leprosa",25,60000,NA
"465","Acacia leptocarpa",124,305000,NA
"466","Acacia leptoclada",10,25000,NA
"467","Acacia leptoneura",3,7500,NA
"468","Acacia leptopetala",2,7500,NA
"469","Acacia leptophleba",21,45000,NA
"470","Acacia leptospermoides",2,5000,NA
"471","Acacia leptostachya",32,77500,NA
"472","Acacia leucoclada",35,80000,NA
"473","Acacia leucolobia",15,27500,NA
"474","Acacia ligulata",519,1350000,NA
"475","Acacia limbata",9,22500,NA
"476","Acacia linarioides",12,22500,NA
"477","Acacia linearifolia",55,127500,NA
"478","Acacia lineata",78,192500,NA
"479","Acacia lineolata",3,7500,NA
"480","Acacia linifolia",36,82500,NA
"481","Acacia loderi",45,107500,NA
"482","Acacia longifolia",501,1322500,"hermaphroditism"
"483","Acacia longispicata",25,45000,NA
"484","Acacia longispinea",18,40000,NA
"485","Acacia longissima",71,177500,NA
"486","Acacia loroloba",9,17500,NA
"487","Acacia lucasii",7,12500,NA
"488","Acacia lullfitziorum",NA,NA,NA
"489","Acacia lunata",22,47500,NA
"490","Acacia luteola",7,15000,NA
"491","Acacia lycopodiifolia",75,175000,NA
"492","Acacia lysiphloia",139,355000,NA
"493","Acacia mabellae",13,22500,NA
"494","Acacia macdonnelliensis",NA,NA,NA
"495","Acacia mackeyana",9,20000,NA
"496","Acacia macnuttiana",5,10000,NA
"497","Acacia maconochieana",9,22500,NA
"498","Acacia macradenia",33,77500,NA
"499","Acacia macraneura",7,20000,NA
"500","Acacia maidenii",132,315000,NA
"501","Acacia maitlandii",58,132500,NA
"502","Acacia mangium",263,650000,NA
"503","Acacia maranoensis",2,5000,NA
"504","Acacia marramamba",2,5000,NA
"505","Acacia masliniana",NA,NA,NA
"506","Acacia matthewii",3,7500,NA
"507","Acacia mearnsii",609,1620000,"hermaphroditism"
"508","Acacia megacephala",1,2500,NA
"509","Acacia megalantha",18,35000,NA
"510","Acacia meiantha",5,10000,NA
"511","Acacia meisneri",2,2500,NA
"512","Acacia melanoxylon",876,2342500,"hermaphroditism"
"513","Acacia melleodora",76,175000,NA
"514","Acacia melvillei",57,142500,NA
"515","Acacia menzelii",2,5000,NA
"516","Acacia merinthophora",2,5000,NA
"517","Acacia merrallii",57,137500,NA
"518","Acacia merrickiae",NA,NA,NA
"519","Acacia microbotrya",18,42500,NA
"520","Acacia microcalyx",NA,NA,NA
"521","Acacia microcarpa",89,215000,NA
"522","Acacia microneura",NA,NA,NA
"523","Acacia microsperma",6,12500,NA
"524","Acacia midgleyi",2,5000,NA
"525","Acacia mimica",NA,NA,NA
"526","Acacia mimula",57,137500,NA
"527","Acacia minyura",48,117500,NA
"528","Acacia mitchellii",34,85000,NA
"529","Acacia moirii",NA,NA,NA
"530","Acacia mollifolia",9,17500,NA
"531","Acacia montana",99,260000,NA
"532","Acacia monticola",65,155000,NA
"533","Acacia mooreana",6,7500,NA
"534","Acacia mountfordiae",6,12500,NA
"535","Acacia mucronata",69,170000,NA
"536","Acacia muelleriana",16,30000,NA
"537","Acacia mulganeura",2,5000,NA
"538","Acacia multisiliqua",67,157500,NA
"539","Acacia multispicata",13,32500,NA
"540","Acacia multistipulosa",3,2500,NA
"541","Acacia murrayana",190,465000,NA
"542","Acacia mutabilis",NA,NA,NA
"543","Acacia myrtifolia",250,650000,NA
"544","Acacia nanodealbata",12,30000,NA
"545","Acacia nematophylla",14,35000,NA
"546","Acacia neriifolia",65,172500,NA
"547","Acacia nervosa",21,47500,NA
"548","Acacia neurocarpa",37,85000,NA
"549","Acacia neurophylla",12,30000,NA
"550","Acacia nigricans",8,17500,NA
"551","Acacia nigripilosa",8,20000,NA
"552","Acacia nitidula",5,10000,NA
"553","Acacia nodiflora",NA,NA,NA
"554","Acacia notabilis",71,162500,NA
"555","Acacia nuperrima",67,150000,NA
"556","Acacia nyssophylla",123,312500,NA
"557","Acacia obliquinervia",74,175000,NA
"558","Acacia obtecta",3,5000,NA
"559","Acacia obtusata",30,65000,NA
"560","Acacia obtusifolia",93,2e+05,NA
"561","Acacia octonervia",3,5000,NA
"562","Acacia oldfieldii",1,2500,NA
"563","Acacia olgana",4,7500,NA
"564","Acacia oligoneura",3,5000,NA
"565","Acacia olsenii",2,5000,NA
"566","Acacia omalophylla",97,237500,NA
"567","Acacia oncinocarpa",100,230000,NA
"568","Acacia oncinophylla",2,2500,NA
"569","Acacia ophiolithica",3,2500,NA
"570","Acacia oraria",12,27500,NA
"571","Acacia orbifolia",2,5000,NA
"572","Acacia orites",14,25000,NA
"573","Acacia orthocarpa",30,75000,NA
"574","Acacia orthotricha",1,2500,NA
"575","Acacia oshanesii",24,52500,NA
"576","Acacia oswaldii",494,1255000,NA
"577","Acacia oxycedrus",75,187500,NA
"578","Acacia oxyclada",1,2500,NA
"579","Acacia pachyacra",18,37500,NA
"580","Acacia pachycarpa",18,45000,NA
"581","Acacia papulosa",NA,NA,NA
"582","Acacia papyrocarpa",86,210000,NA
"583","Acacia paradoxa",262,680000,NA
"584","Acacia paraneura",31,67500,NA
"585","Acacia parramattensis",57,135000,NA
"586","Acacia parvipinnula",37,75000,NA
"587","Acacia patagiata",1,2500,NA
"588","Acacia pedina",3,2500,NA
"589","Acacia pedleyi",1,2500,NA
"590","Acacia pellita",37,85000,NA
"591","Acacia pendula",176,445000,NA
"592","Acacia penninervis",143,367500,NA
"593","Acacia pentadenia",8,17500,NA
"594","Acacia peregrinalis",10,20000,NA
"595","Acacia perryi",1,2500,NA
"596","Acacia petraea",5,12500,NA
"597","Acacia peuce",9,20000,NA
"598","Acacia phaeocalyx",1,2500,NA
"599","Acacia pharangites",NA,NA,NA
"600","Acacia phlebopetala",1,2500,NA
"601","Acacia phlebophylla",2,2500,NA
"602","Acacia pickardii",4,7500,NA
"603","Acacia piligera",15,35000,NA
"604","Acacia pinguiculosa",1,2500,NA
"605","Acacia platycarpa",141,345000,NA
"606","Acacia plectocarpa",96,247500,NA
"607","Acacia plicata",NA,NA,NA
"608","Acacia podalyriifolia",256,620000,"hermaphroditism"
"609","Acacia poliochroa",7,12500,NA
"610","Acacia polybotrya",33,85000,NA
"611","Acacia polystachya",15,37500,NA
"612","Acacia porcata",NA,NA,NA
"613","Acacia praelongata",22,52500,NA
"614","Acacia prainii",21,55000,NA
"615","Acacia pravifolia",36,80000,NA
"616","Acacia pravissima",125,327500,NA
"617","Acacia producta",25,55000,NA
"618","Acacia proiantha",3,7500,NA
"619","Acacia prominens",31,70000,NA
"620","Acacia pruinocarpa",68,155000,NA
"621","Acacia pruinosa",14,30000,NA
"622","Acacia pteraneura",15,35000,NA
"623","Acacia pterocaulon",NA,NA,NA
"624","Acacia ptychoclada",4,5000,NA
"625","Acacia ptychophylla",8,20000,NA
"626","Acacia pubescens",8,15000,NA
"627","Acacia pubicosta",3,7500,NA
"628","Acacia pubifolia",7,15000,NA
"629","Acacia pubirhachis",2,5000,NA
"630","Acacia pulchella",53,125000,NA
"631","Acacia pulviniformis",2,5000,NA
"632","Acacia puncticulata",NA,NA,NA
"633","Acacia pusilla",1,2500,NA
"634","Acacia pustula",14,30000,NA
"635","Acacia pycnantha",330,875000,NA
"636","Acacia pycnocephala",7,15000,NA
"637","Acacia pycnostachya",5,7500,NA
"638","Acacia pygmaea",NA,NA,NA
"639","Acacia pyrifolia",18,42500,NA
"640","Acacia quadrilateralis",27,60000,NA
"641","Acacia quadrimarginea",34,70000,NA
"642","Acacia quadrisulcata",1,2500,NA
"643","Acacia quinquenervia",NA,NA,NA
"644","Acacia quornensis",3,7500,NA
"645","Acacia ramulosa",134,322500,NA
"646","Acacia redolens",40,102500,NA
"647","Acacia repanda",NA,NA,NA
"648","Acacia resinimarginea",12,25000,NA
"649","Acacia resinocostata",1,2500,NA
"650","Acacia resinosa",NA,NA,NA
"651","Acacia restiacea",7,17500,NA
"652","Acacia retinervis",3,7500,NA
"653","Acacia retinodes",283,782500,NA
"654","Acacia retivenea",21,42500,NA
"655","Acacia rhamphophylla",NA,NA,NA
"656","Acacia rhetinocarpa",7,17500,NA
"657","Acacia rhigiophylla",10,25000,NA
"658","Acacia rhodophloia",25,55000,NA
"659","Acacia riceana",16,32500,NA
"660","Acacia richii",NA,NA,NA
